,PHA-L,PHA-E,DSL,ConA,PNA,MAL-I,MAL-II,SNA,DBA,ECA,AAL,LEL,GSL-II,Galectin-3,UEA-I
MIR3659HG,-0.0038570431962412716,0.0075470535570499354,-0.009757543132861425,0.018827884872444092,-0.033624692141935905,-0.0007692580360463361,-0.04441395641989418,-0.017455151971431375,0.1050744892640619,-0.01581690860435151,0.013265591413755414,-0.019597751025842235,0.016924343901060464,-0.05033627472019944,-0.022971929670379122
RRAGC-DT,0.10789900744112994,0.006178953497063997,0.024931472643798493,0.03449147126465204,0.024741040620983364,-0.029055165521794078,0.05424356177428776,0.021739540577279087,0.025560018020802742,0.03921748099660346,-0.016720755248191534,-0.02113740193105487,0.025965286400958378,0.0036987710640979114,0.03330752960370602
EXO5-DT,0.11442511479040925,0.10004714117899989,0.12410642548109616,0.13272397165350483,0.038902723964686955,0.05529429443563346,0.12872695698680095,0.14770333267710678,0.08619648861523184,0.06664561035699192,0.05657888252338442,0.018530529977608817,0.06462569410658499,0.07951137988385384,-0.027644399906635767
SCMH1,0.16521730938059537,0.020154784494080563,0.027044854785194795,0.03587627084012438,0.050078114470215644,-0.12410989948043202,0.14799444647798007,0.1365377592420086,0.015377404279350736,0.16292161455870774,0.05893139456726499,-0.09860987997673365,0.07587861599092587,0.06600752071671048,0.05149840361846911
ENSG00000291157,0.0019641199004940537,0.05457485197740165,0.03357849038780459,0.047147044104001244,-0.018861819205481016,0.05139309362799093,0.013550743093165977,0.019571608403547068,0.04388635369106565,-0.024846395586488525,0.015169949699361144,0.030620671058472767,0.01067453753409735,-0.007946666750280556,-0.012886136842969765
HIVEP3,-0.0307486586313804,0.021906305834413664,0.03179589340356741,0.027877942666570107,0.027279308209198775,0.0713313805580916,0.01666240718723566,-0.005117711263054401,0.017661417422948144,-0.06812816622248628,-0.001232412381854096,0.029244938133141312,-0.013745060721068937,-0.017337698573258592,-0.02416794454398168
CCDC30,0.037006009981246896,0.031462951068892964,0.04255539085406426,0.04519384820434324,-0.023602653217090083,0.019875034720121962,0.04311930591953369,0.046939925720552174,0.008518072595447923,0.019478822311240537,0.03967340227656099,-0.010770624600751256,0.015200624560587269,-0.008659960111083128,0.056987694746534034
CFAP57,0.04236884188893158,0.006912785744231536,0.053185165726320205,0.025418004327829383,0.04622972668894239,0.02273170846852878,0.014163923011857295,0.020158103612516257,-0.015793598307400923,-0.0037014618430747763,-0.0062465887168514315,-0.00875722795207077,-0.00068855384665931,-0.014397133457314073,-0.015418974604495813
HYI-AS1,0.03495558740430166,0.020970328073284014,0.0032041304282899915,-0.004821047389139069,-0.01745619844366768,-0.011351259657587615,0.022236953195274602,0.03608819903838569,-0.012215589401388895,0.015111436961450477,-0.01959801755038342,-0.014912739767526257,0.015119240244347,-0.03026994026729252,-0.01192583596802645
SLC6A9,-0.03289212054815092,0.002720163619675319,0.0007046134082679687,-0.0353965648141418,-0.012329724465191521,-0.0051691236113950755,-0.05216593927810717,-0.010607936043915578,-0.00862815875891209,-0.01399239247459675,-0.02310033220698128,0.013760586079368255,-0.01512426211976538,0.012140804728013634,-0.008423499078413433
